"artist","song","lyrics"
"Brandi Carlile feat. Lucius","You and Me on the Rock","They build wooden houses on frozen ponds In the summertime when the water's gone Diagonal lines in their rolled-out lawns And the sage always smells so pretty But nobody cares where the birds have gone When the rain comes down on Babylon The stone mason's phone rings all day long And you gotta get back to the city  I'll build my house up on this rock, baby Every day with you There's nothin' in that town I need After everything we've been through Me out in my garden and you out on your walk Is all the distance this poor girl can take Without listenin' to you talk I don't need their money, baby Just you and me on the rock You and me on the rock  I built paper planes when I learned to fly Like a 747 fallin' out of the sky I folded 'em crooked, now I'm wonderin' why I could always end up in the water But nobody's askin' why she lookin' so thin Why she laughin' too hard or why she drinkin' again A fallen star, she's a paper plane She was goin' down when you caught her I'll build my house up on this rock, baby Every day with you There's nothin' in that town I need After everything we've been through Me out in my garden and you out on your walk Is all the distance this poor girl can take Without listenin' to you talk I don't need their money, baby Just you and me on the rock  It's an earthquake, it's a harder wind It's a record breakin' tide and it is rollin' in It's a big sea, but it can't touch you and me It's just a water view And what a view I don't need their money, baby Woo  I'll build my house up on this rock, baby Every day with you There's nothin' in that town I need After everything we've been through Me out in my garden and you out on your walk Is all the distance this old girl can take Without listenin' to you talk I don't need their money, baby Just you and me on the rock I don't need their money, baby (I don't need their money, baby) Just you and me on the rock (Just you and me on the rock) You and me on the rock1"
"Doja Cat","Woman","Hey, woman Hey, woman  (Ayy) Woman Let me be your woman Woman, woman, woman (Ayy) I can be your woman Woman, woman, woman (Ayy) Let me be your woman Woman, woman, woman (Ayy) I can be your woman Woman, woman, woman (Ayy)  What you need? She give tenfold, come here, papa, plant your seed She can grow right from her womb a family Provide lovin' overlooked and unappreciated, you see  (Ayy) You can reciprocate I got delicious taste, you need a woman's touch in your place Just protect her and keep her safe Baby, worship my hips and waist So feminine with grace I touch your soul when you hear me say, ""Boy"" Let me be your woman  Woman (Daddy) Let mе be your woman (I know, mm) Woman, woman, woman (Daddy) I can be your woman (I know) Woman, woman, woman (Daddy) Let mе be your woman (I know) Woman, woman, woman (Ayy; daddy) I can be your woman (I know) Woman, woman, woman  I can be your lady, I'm a woman I'm a motherfucker, but they got a problem Put some babies in your life and take away the drama Put the paper in a picture like a diorama Gotta face a lot of people of the opposite 'Cause the world told me, ""We ain't got the common sense"" Gotta prove it to myself that I'm on top of shit And you would never know a god without the goddesses Honest as fuckin' honest get And I could be on everything I mean I could be the leader, head of all the states I could smile and jiggle it 'til his pockets empty I could be the CEO, just look at Robyn Fenty And I'ma be there for you 'cause you on my team, girl Don't ever think you ain't hella these niggas dream girl They wanna pit us against each other When we succeedin' for no reasons They wanna see us end up like we Regina on Mean Girls Princess or queen, tomboy or king (Yeah) You've heard a lot, you've never seen (Nah) Mother Earth, Mother Mary rise to the top (Top) Divine feminine, I'm feminine (Why?) Woman (Daddy) Let me be your woman (Let me be your; I know) Woman, woman, woman (I need to be your; daddy) I can be your woman (I know) Woman, woman, woman (Daddy) Let me be your woman (I know) Woman, woman, woman (Daddy) I can be your woman (I wanna be; I know) Woman, woman, woman  (Woman) Eee (Hey, woman, woman) Eee, hey (Hey, woman, woman) Mm, mm (Hey, woman, woman) (Hey, woman)50"
"Steve Lacy","Bad Habit","I wish I knew you wanted me I wish I knew I wish I knew you wanted me I wish I knew I wish I knew you wanted me  What you, ooh, uh, what you do? Made a move, could've made a move If I knew I'd be with you Is it too late to pursue?  I bite my tongue, it's a bad habit Kinda mad that I didn't take a stab at it Thought you were too good for me, my dear Never gave me time of day, my dear It's okay, things happen for Reasons that I think are sure, yeah  I wish I knew I wish I knew you wanted me (I wish I knew) I wish I knew (Oh) I wish I knew you wanted me I wish I knew (Yeah) I wish I knew you wanted me (Oh) I wish I knew I wish I knew you wanted me  Please say to me (Please just say to me) If you still want it I wish you wouldn't play with me I wanna know (I wanna know)  Can I bite your tongue like my bad habit? Would you mind if I tried to make a pass at it? No, you're not too good for me, my dear Funny you come back to me, my dear It's okay, things happen for Reasons that I can't ignore, yeah  I wish I knew I wish I knew you wanted me I wish I knew (Wish I knew) I wish I knew you wanted me (Oh)  You can't surprise a Gemini (I wish I knew) I'm everywhere, I'm cross-eyed, and (I wish I knew you wanted me) Now that you're back, I can't decide (I wish I knew) If I decide if you're invited (I wish I knew you wanted me) You always knew the way to wow me Fuck around, get tongue-tied, and I turn it on, I make it rowdy Then carry on, but I'm not hidin' You grabbin' me hard 'cause you know what you found It's biscuits, it's gravy, babe  You can't surprise a Gemini But you know it's biscuits, it's gravy, babe I knew you'd come back around 'Cause you know it's biscuits, it's gravy, babe Let's fuck in the back of the mall, lose control Go stupid, go crazy, babe I know I'll be in your heart 'til the end You'll miss me, don't beg me, babe24"
"Kendrick Lamar","The Heart Part 5","As I get a little older, I realize life is perspective And my perspective may differ from yours I wanna say thank you to everyone that's been down with me All my fans, all my beautiful fans Anyone who's ever gave me a listen, all my people  I come from a generation of pain, where murder is minor Rebellious and Margielas'll chip you for designer Belt buckles and clout, overzealous if prone to violence Make the wrong turn, be it will or the wheel alignment Residue burned, mist of the inner-city Miscommunication to keep homi' detective busy No protection is risky Desensitized, I vandalized pain, covered up and camouflaged Get used to hearin' arsenal rain Analyze, risk your life, take the charge Homies done fucked your baby mama once you hit the yard That's culture Twenty-three hour lockdown, then somebody called Said your lil' nephew was shot down, the culture's involved I done seen niggas do seventeen, hit the halfway house Get out and get his brains blown out, lookin' to buy some weed Car wash is played out, new GoFundMe accounts'll proceed A brand-new victim'll shatter those dreams The culture  (I want, I want, I want, I want) But I want you to want me too (I want, I want, I want, I want) I want the hood to want me back (I want, I want, I want, I want) I want the hood Look what I done for you (Look what I done for you) Look what I done for you  I said I do this for my culture To let y'all know what a nigga look like in a bulletproof Rover In my mama's sofa was a doo-doo popper Hair trigger, walk up closer, ain't no Photoshoppin' Friends bipolar, grab you by your pockets No option if you froze up, always play the offense Niggas goin' to work and sellin' work, late for work Workin' late, prayin' for work, but he on paperwork That's the culture, point the finger, promote ya Remote location, witness protection, they gon' hold ya The streets got me fucked up, y'all can miss me I wanna represent for us New revolution was up and movin' I'm in Argentina wiping my tears, full of confusion Water in between us, another peer's been executed History repeats again Make amends, then find a nigga with the same skin to do it But that's the culture, crack a bottle Hard to deal with the pain when you're sober By tomorrow, we forget the remains, we start over That's the problem Our foundation was trained to accept whatever follows Dehumanized, insensitive Scrutinize the way we live for you and I Enemies shook my hand, I can promise I'll meet you In the land where no equal is your equal Never say I ain't told ya, nah In the land where hurt people hurt more people Fuck callin' it culture (I want, I want, I want, I want) But I want you to want me too (I want, I want, I want, I want) I want the hood to want me back (I want, I want, I want, I want) I want the hood Look what I done for you (Look what I done for you) Look what I done for you  Take the drums out  Celebrate new life when it come back around The purpose is in the lessons we learnin' now Sacrifice personal gain over everything Just to see the next generation better than ours I wasn't perfect, the skin I was in had truly suffered Temptation, impatience, everything that the body nurtures I felt the good, I felt the bad, and I felt the worry But all-in-all, my productivity had stayed urgent Face your fears, always knew that I would make it here Where the energy is magnified and persevered Consciousness is synchronized and crystal-clear Euphoria is glorified and made His Reflectin' on my life and what I done Paid dues, made rules, change outta love Them same views made schools change curriculums But didn't change me starin' down the barrel of the gun Should I feel resentful I didn't see my full potential? Should I feel regret about the good that I was into? Everything is everything, this ain't coincidental I woke up that morning with more heart to give you As I bleed through the speakers, feel my presence To my brother, to my kids, I'm in Heaven To my mother, to my sis, I'm in Heaven To my father, to my wife, I am serious, this is Heaven To my friends, make sure you countin' them blessings To my fans, make sure you make them investments And to the killer that sped up my demise I forgive you, just know your soul's in question I seen the pain in your pupil when that trigger had squeezed And though you did me gruesome, I was surely relieved I completed my mission, wasn't ready to leave But fulfilled my days, my Creator was pleased I can't stress how I love y'all I don't need to be in flesh just to hug y'all The memories recollect just because y'all Celebrate me with respect The unity we protect is above all And Sam, I'll be watchin' over you Make sure my kids watch all my interviews Make sure you live out our dreams we produced Keep that genius in your brain on the move And to my neighborhood, let the good prevail Make sure them babies and the leaders outta jail Look for salvation when troubles get real 'Cause you can't help the world until you help yourself And I can't blame the hood the day that I was killed Y'all had to see it, that's the only way to feel And though my physical won't reap the benefits The energy that carry on emits still I want you201"
"Harry Styles","As It Was","Come on, Harry, we wanna say goodnight to you  Holdin' me back Gravity's holdin' me back I want you to hold out the palm of your hand Why don't we leave it at that? Nothin' to say When everything gets in the way Seems you cannot be replaced And I'm the one who will stay, oh-oh-oh  In this world, it's just us You know it's not the same as it was In this world, it's just us You know it's not the same as it was As it was, as it was You know it's not the same  Answer the phone ""Harry, you're no good alone Why are you sitting at home on the floor? What kind of pills are you on?"" Ringin' the bell And nobody's coming to help Your daddy lives by himself He just wants to know that you're well, oh-oh-oh  In this world, it's just us You know it's not the same as it was In this world, it's just us You know it's not the same as it was As it was, as it was You know it's not the same  Go home, get ahead, light-speed internet I don't wanna talk about the way that it was Leave America, two kids follow her I don't wanna talk about who's doin' it first  (Hey) As it was You know it's not the same as it was As it was, as it was190"
"Bonnie Raitt","Just Like That","I watched him circle 'round the block, finally stopped at mine Took a while before he knocked like all he had was time ""Excuse me, ma’am, maybe you can help, the directions weren't so clear I'm looking for Olivia Zand, they said I might find her here"" Well, I looked real hard and asked him, ""What she’s got he's looking for?"" Said, ""There's somethin' I think she'd wanna know"" and I let him in the door It's not like me to trust so quick, caught me by surprise But somеthin' about him gave me easе, right there in his eyes  And just like that, your life can change if I hadn't looked away My boy might still be with me now, he’d be twenty-five today No knife can carve away the stain, no drink can drown regret They say Jesus brings you peace and grace, well, He ain’t found me yet  Na-na-na, na, na Na-na-na, na, na Na, na, na-na-na-na  He sat down and took a deeper breath, then looked right in my face I heard about the son you lost, how you left without a trace I've spent years just tryna find you so I could finally let you know It was your son’s heart that saved me, and a life you gave us both  And just like that, your life can change, look what the angels send I lay my head upon his chest and I was with my boy again Well, I've spent so long in darkness, I never thought the night would end But somehow, grace has found me, and I had to let Him in  Na-na-na, na, na Na-na-na, na, na Na, na, na-na-na-na Na-na-na, na, na Na-na-na, na, na Na, na, na-na-na Na-na-na, na, na Na-na-na, na, na Na, na, na-na-na Na-na-na, na, na Na-na-na, na, na Na, na, na-na-na-na"
"GAYLE","abcdefu","Fuck you and your mom and your sister and your job And your broke-ass car and that shit you call art Fuck you and your friends that I'll never see again Everybody but your dog, you can all fuck off  I swear I meant to mean the best when it ended Even tried to bite my tongue when you start shit Now you're textin' all my friends asking questions They never even liked you in the first place Dated a girl that I hate for the attention She only made it two days, what a connection It's like you'd do anythin' for my affection You're goin' all about it in the worst ways  I was into you, but I'm ovеr it now And I was tryna be nice But nothing's getting through, so lеt me spell it out  A-B-C-D-E, F you And your mom and your sister and your job And your broke-ass car and that shit you call art Fuck you and your friends that I'll never see again Everybody but your dog, you can all fuck off  Na-na-na-na, na-na-na-na A-B-C-D-E, F you You said you just needed space and so I gave it When I had nothin' to say, you couldn't take it Told everyone I'm a bitch, so I became it Always had to put yourself above me  I was into you, but I'm over it now And I was tryna be nice But nothing's getting through, so let me spell it out  A-B-C-D-E, F you And your mom and your sister and your job And your craigslist couch and the way your voice sounds Fuck you and your friends that I'll never see again Everybody but your dog, you can all fuck off  Na-na-na-na, na-na-na-na A-B-C-D-E, F off (F off) Na-na-na-na, na-na-na-na A-B-C-D-E, F you And your mom and your sister and your job And your broke-ass car and that shit you call art Fuck you and your friends that I'll never see again Everybody but your dog, you can all fuck off41"
"Lizzo","About Damn Time","Anyway  It's bad bitch o'clock, yeah, it's thick-thirty I've been through a lot, but I'm still flirty (Okay) Is everybody back up in the buildin'? It's been a minute, tell me how you're healin' 'Cause I'm about to get into my feelings How you feelin'? How you feel right now?  Oh, I been so down and under pressure I'm way too fine to be this stressed, yeah Oh, I'm not the girl I was or used to be, uh Bitch, I might be better  Turn up the music, turn down the lights I got a feelin' I'm gon' be alright Okay (Okay), alright It's about damn time (Time) Turn up the music, let's celebrate (Alright) I got a feelin' I'm gon' be okay Okay (Okay), alright It's about damn time  In a minute, I'ma need a sentimental Man or woman to pump me up Feelin' fussy, walkin' in my Balenci-ussies Tryna bring out the fabulous 'Cause I give a fuck way too much I'ma need like two shots in my cup Wanna get up, wanna get down Mm, that's how I feel right now  Oh, I been so down and under pressure I'm way too fine to be this stressed, yeah Oh, I'm not the girl I was or used to be, uh Bitch, I might be better  Turn up the music, turn down the lights I got a feelin' I'm gon' be alright Okay (Okay), alright It's about damn time (Time) Turn up the music, let's celebrate (Alright) I got a feelin' I'm gon' be okay Okay (Okay), alright It's about damn time Bitch 'Cause, uh, you know what time it is, uh I'm comin' out tonight, I'm comin' out tonight (Uh-huh) I'm comin' out tonight, I'm comin' out tonight (Woo) I'm comin' out tonight, I'm comin' out tonight Okay (Okay), alright (Alright) It's about damn time I'm comin' out tonight (Let's go), I'm comin' out tonight (Comin' out tonight) I'm comin' out tonight, I'm comin' out tonight (Woo) I'm comin' out tonight, I'm comin' out tonight (Comin' out tonight) Okay (Okay), alright It's about damn time (Oh)  Bitch Yeah, yeah It's about damn time13"
"Taylor Swift","All Too Well (10 Minute Version) (The Short Film)","I walked through the door with you, the air was cold But somethin' 'bout it felt like home somehow And I left my scarf there at your sister's house And you've still got it in your drawer, even now  Oh, your sweet disposition and my wide-eyed gaze We're singin' in the car, getting lost upstate Autumn leaves fallin' down like pieces into place And I can picture it after all these days  And I know it's long gone and That magic's not here no more And I might be okay, but I'm not fine at all Oh, oh, oh  'Causе there we arе again on that little town street You almost ran the red 'cause you were lookin' over at me Wind in my hair, I was there I remember it all too well  Photo album on the counter, your cheeks were turnin' red You used to be a little kid with glasses in a twin-sized bed And your mother's tellin' stories 'bout you on the tee-ball team You taught me 'bout your past, thinkin' your future was me And you were tossing me the car keys, ""Fuck the patriarchy"" Keychain on the ground, we were always skippin' town And I was thinkin' on the drive down, ""Any time now He's gonna say it's love,"" you never called it what it was 'Til we were dead and gone and buried Check the pulse and come back swearin' it's the same After three months in the grave And then you wondered where it went to as I reached for you But all I felt was shame and you held my lifeless frame  And I know it's long gone and There was nothing else I could do And I forget about you long enough To forget why I needed to  'Cause there we are again in the middle of the night We're dancin' 'round the kitchen in the refrigerator light Down the stairs, I was there I remember it all too well And there we are again when nobody had to know You kept me like a secret, but I kept you like an oath Sacred prayer and we'd swear To remember it all too well, yeah  Well, maybe we got lost in translation, maybe I asked for too much But maybe this thing was a masterpiece 'til you tore it all up Runnin' scared, I was there I remember it all too well And you call me up again just to break me like a promise So casually cruel in the name of bein' honest I'm a crumpled-up piece of paper lyin' here 'Cause I remember it all, all, all They say all's well that ends well, but I'm in a new hell Every time you double-cross my mind You said if we had been closer in age, maybe it would've been fine And that made me want to die The idea you had of me, who was she? A never-needy, ever-lovely jewel whose shine reflects on you Not weepin' in a party bathroom Some actress askin' me what happened, you That's what happened, you You who charmed my dad with self-effacing jokes Sippin' coffee like you're on a late-night show But then he watched me watch the front door all night, willin' you to come And he said, ""It's supposed to be fun turning twenty-one""  Time won't fly, it's like I'm paralyzed by it I'd like to be my old self again, but I'm still tryin' to find it After plaid shirt days and nights when you made me your own Now you mail back my things and I walk home alone But you keep my old scarf from that very first week 'Cause it reminds you of innocence and it smells like me You can't get rid of it 'Cause you remember it all too well, yeah  'Cause there we are again when I loved you so Back before you lost the one real thing you've ever known It was rare, I was there I remember it all too well Wind in my hair, you were there You remember it all Down the stairs, you were there You remember it all It was rare, I was there I remember it all too well And I was never good at tellin' jokes, but the punch line goes ""I'll get older, but your lovers stay my age"" From when your Brooklyn broke my skin and bones I'm a soldier who's returning half her weight And did the twin flame bruise paint you blue? Just between us, did the love affair maim you too? 'Cause in this city's barren cold I still remember the first fall of snow And how it glistened as it fell I remember it all too well  Just between us, did the love affair maim you all too well? Just between us, do you remember it all too well? Just between us, I remember it all too well (Just between us) They say all's well that ends well, but I'm in a new hell Every time you double-cross my mind You said if we had been closer in age, maybe it would've been fine And that made me want to die The idea you had of me, who was she? A never-needy, ever-lovely jewel whose shine reflects on you Not weepin' in a party bathroom Some actress askin' me what happened, you That's what happened, you You who charmed my dad with self-effacing jokes Sippin' coffee like you're on a late-night show But then he watched me watch the front door all night, willin' you to come And he said, ""It's supposed to be fun turning twenty-one"" Wind in my hair, I was there, I was there Down the stairs, I was there, I was there Sacred prayer, I was there, I was there"
"DJ Khaled feat. Rick Ross, Lil Wayne, Jay-Z, John Legend & Fridayy","GOD DID","It breaks my heart They ain't believe in us We the Best Music They played themselves While you hatin' and being jealous You could be over here embracing that love More love, more blessings, more life GOD DID (GOD DID) You either win with us or you watch us win DJ Khaled  They wanted us down, ooh-woah But look at us now, oh They counted us out (Time to say a prayer, M-M-M—) They didn't think that we would make it, oh (May we bow our heads) They didn't believe in us, oh (Huh)  But I know God did, God did (Oh, yes, He did) Oh, God did (Oh-oh, Khaled) Oh, yes, God did (Oh-oh, Khaled) Oh, God did (God is great) But I know God did  Nosedive, they just prayin' that I crash (Huh) Those guys, they don't wanna see you last They'll jack up three million dollars up on your tax A tub full of money, I still can't relax Tires spinnin', Lord forgive me, I'm a sinner Conquer, divide niggas Wrong side of the petition, only divine winnin' Better listen when I tell you how I put time in it Please, forgive me, God did So leave me in the dark, swimmin' with the sharks Dope boy, big calm, still the biggest boss Got a kilo on a plate, send 'em on a freight Or I can go and buy a bank, I know my money's safe (Maybach Music)  They counted us out They didn't think that we would make it, oh They didn't believe in us, oh  But I know God did, God did (Oh, yes, He did) Oh, God did (Oh-oh) Oh, yes, God did (Oh-oh) Oh (Mula) But I know God did (Uh) Sky is the limit, every day I reach They was tired of me winnin', now they dead sleep Don't wan' see me with the ring? You better play D' Nigga, God did His thing when He made me With the odds stacked against me, I could crack Da Vinci I know only God can judge us, I say that for Brittney They smell blood like the sharks, they start actin' fishy Well, I'ma have to act a ass and they gon' have to kiss me Please, don't hate me just to hate me Before they overrate me, they gon' underestimate me Funeral and wake me, bury me and excavate me But I'm so cultivating, everybody replicate me, nigga, face facts Dreadlocks, face tats, I'm the apex I made the culture, what up, twin? They relate back I fucked the world and when I did, I practiced safe sex I pray more and said less, God did the rest  They counted us out They didn't think that we would make it, oh They didn't believe in us (It breaks my heart), oh  But I know God did (Where we at Gu?), God did (Oh, yes, He did, where we at Gu?) Oh, God did (Oh-oh) Oh, yes, God did (Oh-oh) Oh, God did But I know God did Hov did Please, Lord forgive me for what the stove did Nobody touched the billi' until Hov did How many billionaires can come from Hov crib? Huh I count three, me, Ye and Rih Bron's a Roc boy, so four, technically (Woo) I left the dope game with my record clean, huh I turned the cocaína into champagne, huh I cleaned up la madrina with the same soap, huh Me and Loro talk 'bout how we slang dope, huh Now the weed in stores, can you believe this, Ty? I put my hustle onto Forbes, can you believe this guy? Then we said, ""Fuck it,"" took the dope public Out the mud, they gotta face you now, you can't make up this shit Judge it how you judge it, say we goin' corporate Nah, we just corner boys with the corner office I'm at the cap table, what the splits is? Not that cap table, boy, we live this Breezy what the business is We pushin' Fenty like Fentanyl, the shit is all legitimate (Woo) E was down ten for this We just got his ten back then went back like, ""Where the interests is?"" Em light up the O3 We let y'all do the zazas, OG for the OGs Some new niggas out of pocket, talkin' exotic You barely been to the Baham— (Haha) that's another topic Monogram in my pocket off the red carpet You see the face I made that night, shit is that shockin' Odds wasn't great, we'd even be alive Gotta be crazy to y'all niggas, we surprised Shit is too much how we grew up (Grew up) Shit don't even feel real to us (Damn) OG sold to those, you called kingpin If those your drug lords, then who are we then? Hov is a real nigga's dream My only goal, to make a real nigga feel seen Sometimes, it make a fake nigga hate life Never my intention, the consequences of my way of life The way we used to play with life I'm now careful with the sentences, them only jail bars I like (Woo) I never wanted to be the state custodian (Come on) The laws are draconian (Come on, Hov) For those married to the life (Come on), it's holy matrimony and (Come on) Somehow, I'll out-fox every box they'll try to throw me in (Come on) With great ceremony and Folk and 'nem told me how highly Caddy spoke of him And bloke and 'nem from London, Harrow Road, Weston Inn I be speakin' to the souls of men Those of them willin' to die for the existence that this cold world has chose for them Kickin' snow off a frozen Timb (Woo) Back and forth on this turnpike, really took a toll on 'em Lot of fallen soldiers on these roads of sin For those who make the laws, I'ma always have smoke for them I got lawyers like shooters Workin' pro bono for him as a favor 'cause I throw them Ms In memory of Teelo I pray none of your people die over jailphones again All this pain from the outside, inspired all this growth within So new planes gettin' broken in Highest elevation of the self They done fucked around and gave the right niggas wealth These ain't songs, these is hymns 'cause I'm him It's the Psalm 151, this New Testament The book of Hov (The book of Hov) Jesus turned water to wine, for Hov, it just took a stove You never know how this shit could go Me and Biggs probably got too big if they ain't book that load (What's up Hoffa?) Hindsight is 20/20 Though he's gettin' plenty money, lookin' back now this shit is funny I just got a million off a sync Without riskin' a million years tryna get it out the sink (Woo) Hov did They said they don't know me internationally, niggas on the road did I see a lot of Hov in Giggs Me and Meek could never beef, I freed that nigga from a whole bid Hov did (Hov did) Next time we have a discussion who the G.O.A.T., you donkeys know this Forgive me, that's my passion talkin' (Haha) Sometimes I feel like Farrakhan (Haha) talkin' to Mike Wallace (Haha) I think y'all should keep quiet Breaks my heart (Haha) God did  They wanted us down, ooh-woah (Come on, man) But look at us now, oh They counted us out They didn't think that we would make it, oh They didn't believe in us, oh  But I know God did, God did (Oh, yes, He did) Oh, God did (Oh-oh) Oh, yes, God did (Oh-oh) Oh, God did But I know God did, God did (Oh, yes, He did) Oh, God did (Oh, God did) Oh, yes, God did (He did) Oh-oh-oh, God did  Yeah And you may not believe, but I know God did Oh, God did (God did) God did (God did) Oh-oh But I know God did He did it Oh, He did it, yeah, yeah God did God did God did Yeah23"
"Miley Cyrus","Flowers","We were good, we were gold Kinda dream that can't be sold We were right 'til we weren't Built a home and watched it burn  Mm, I didn't wanna leave you, I didn't wanna lie Started to cry, but then remembered I  I can buy myself flowers Write my name in the sand Talk to myself for hours Say things you don't understand I can take myself dancing And I can hold my own hand Yeah, I can love me better than you can  Can love me better, I can love me better, baby Can love me better, I can love me better, baby  Paint my nails cherry-red Match the roses that you left No remorse, no regret I forgive every word you said  Ooh, I didn't wanna leave you, baby, I didn't wanna fight Started to cry, but then remembered I  I can buy myself flowers Write my name in the sand Talk to myself for hours, yeah Say things you don't understand I can take myself dancing, yeah I can hold my own hand Yeah, I can love me better than you can  Can love me better, I can love me better, baby Can love me better, I can love me better, baby Can love me better, I can love me better, baby Can love me better, I (Ooh, I)  I didn't wanna leave you, I didn't wanna fight Started to cry, but then remembered I  I can buy myself flowers (Uh-huh) Write my name in the sand Talk to myself for hours (Yeah) Say things you don't understand (You never will) I can take myself dancing, yeah I can hold my own hand Yeah, I can love me better than Yeah, I can love me better than you can Can love me better, I can love me better, baby (Uh) Can love me better, I can love me better, baby (Than you can) Can love me better, I can love me better, baby Can love me better, I36"
"Jon Batiste","Worship","e are born the same We are born the same Return to that place Return to that place Return to that place Return to that place We are born that same Return to that place We are born the same Return to that place We are born the same Return to that place Oh my father Oh my brother Oh my mother Oh my sister Oh my father Oh my mother Oh my brother Oh my sister Oh my mother Oh my father Oh my brother Oh my mother Oh my sister Oh my brother Oh my father Let go! Oh my mother, mother Oh my father Oh my mother Let go! Oh my sister Oh my brother Let go! Oh my father Oh my sister Oh my brother Oh my Levántate Levántate Ooh ooh ooh Levántate I got new fire I got new tires I'm so 'live you know it makes me say It's only you that makes me all I am It's only you that makes me all I am It's only you that makes me all I am All I am yeah Worship It's only you that makes me all I am Worship It's only you that makes me all I am Worship It's only you that makes me all I am All I am all I am Worship Hey hey It's only you that makes me all I am Worship hey hey It's only you that makes me all I am Worship hey hey It's only you that makes me all I am Worship hey hey Worship hey hey All I am all I am We are born the same Return to that place We are born the same Return to that place We are born the same Ooh return to that place Oh my father Oh my mother Oh my brother Oh my sister Oh my father Oh my brother Oh my mother Oh my sister Oh my brother Oh my father Oh my mother, mother Oh my father Oh my mother Oh my sister Oh my brother Oh my father Oh my sister Oh my brother Oh my mother Oh my brother, brother, brother Worship It's only you that makes me all I am Worship It's only you that makes me all I am Worship It's only you that makes me all I am All I am all I am Worship hey hey It's only you that makes me all I am Worship hey hey It's only you that makes me all I am Worship hey hey It's only you that makes me all I am All I am all I am La da da da da da da La da da da da da da da La da da da da da da La da da da da da da da La da da da da da da La da da da da da da da La da da da da da da It's only you It's only you It's only you It's only you that makes you all I am Worship"
"Billie Eilish","What Was I Made For?","I used to float, now I just fall down I used to know, but I'm not sure now What I was made for What was I made for?  Takin' a drive, I was an ideal Looked so alive, turns out I'm not real Just somethin' you paid for What was I made for?  'Cause I, I I don't know how to feel But I wanna try I don't know how to feel But someday, I might Someday, I might  Mm, mm, ah Mm, mm, mm  When did it end? All the enjoyment I'm sad again, don't tell my boyfriend It's not what he's made for What was I made for?  'Cause I, 'cause I I don't know how to feel But I wanna try I don't know how to feel But someday, I might Someday, I might  Think I forgot how to be happy Somethin' I'm not, but somethin' I can be Somethin' I wait for Somethin' I'm made for Somethin' I'm made for16"
"Victoria Monét","On My Mama","When they say, ""She get it from her mama"" I'ma say, ""You fuckin' right"" Body rude, it's unpolite Done bein' the humble type Tell me, is you down? 'Cause I'm tryna go up tonight Hoes and hoochies left and right  I just wanna live in a fantasy I think we deserve it, right? Top all the memories I've ever made in my life Permanent ecstasy (Oh) Ladies is pimps tonight Livin' inside a dream (Oh) Let's lay where the lovers lie  I put that on my own mama, on my hood I look fly, I look good You can't touch my bag, wish you could I look fly, I look too good Put that on my own mama, on my hood I look fly, I look good You can't touch my bag, wish you could I look fly, I look too good  On my mama (Mama), on my hood (Hood) I look fly (Yeah), I look good (Good) Touch my swag (Swag), wish you could (Could) I look fly (Yeah), I look good (Good, good, good)  I'm so deep in my bag Like a grandma with a peppermint They say, ""Ooh, she smell good"" That's just 'cause I'm Heaven-sent Sex game go stupid (Ayy) Snappin' like a toothpick (Ayy) Man, to tell the truth, your opinion is irrelevant  But I, I know you think I'm fine Might be too fine to hit it from behind Reflection in the mirror don't decline I can't even lie, lie, lie  I put that on my own mama, on my hood I look fly, I look good You can't touch my bag, wish you could I look fly, I look too good Put that on my own mama, on my hood (On my mama, on my hood, ayy) I look fly, I look good (I look fly, I look good, ayy, ayy) You can't touch my bag, wish you could (Touch my bag, you wish you could) I look fly, I look too good On my mama (Mama), on my hood (Hood) I look fly (Yeah), I look good (Good) Touch my swag (Swag), wish you could (Could) I look fly (Yeah), I look good (Good) On my mama (Mama), on my hood (Hood) Mama, on my hood I look fly (Yeah), I look good (Good) I look fly, I look good Touch my swag (Swag), wish you could (Could) I know you wish you could Ayy, ayy, I look fly, I look good I look fly (Yeah), I look good (Good, good, good)  Mama, on my hood I look fly, I look good I know you wish you could3"
"Boygenius","Not Strong Enough","Black hole opened in the kitchen Every clock's a different time It would only take the energy to fix it I don't know why I am  The way I am Not strong enough to be your man I tried, I can't Stop staring at the ceiling fan and Spinning out about things that haven't happened Breathing in and out  Drag racing through the canyon Singing ""Boys Don't Cry"" Do you see us getting scraped up off the pavement? I don't know why I am  The way I am Not strong enough to be your man I lied, I am Just lowering your expectations Half a mind that keeps the other second-guessing Close my eyеs and count  Always an angel, never a god Always an angеl, never a god Always an angel, never a god Always an angel, never a god Always an angel, never a god Always an angel, never a god Always an angel, never a god Always an angel, never a god Always an angel, never a god Always an angel, never a god Always an angel, never a god Always an angel, never a god I don't know why I am the way I am There's something in the static I think I've been having revelations Coming to in the front seat, nearly empty Skip the exit to our old street and go home Go home alone12"
